Name,gender,HighestFunction,Party,Birth Date,is_worthy_to_be_guessed
Damien Abad,H,Député,Divers Droite,1980,False
Caroline Abadie,F,Député,Renaissance,1976,False
Nadège Abomangoli,F,Député,La France Insoumise,1975,False
Damien Adam,H,Député,Renaissance,1989,False
Éric Alauzet,H,Député,Résistons !,1958,False
Xavier Albertini,H,Député,Horizons,1970,False
Laurent Alexandre,H,Député,La France Insoumise,1973,False
Henri Alfandari,H,Député,Horizons,1979,False
Franck Allisio,H,Député,Rassemblement National,1980,False
Gabriel Amard,H,Député,La France Insoumise,1967,False
David Amiel,H,Député,Renaissance,1992,False
Ségolène Amiot,F,Député,La France Insoumise,1986,False
Farida Amrani,F,Député,La France Insoumise,1976,False
Pieyre-Alexandre Anglade,H,Député,Renaissance,1986,False
Emmanuelle Anthoine,F,Député,Les Républicains,1964,False
Jean-Philippe Ardouin,H,Député,Renaissance,1964,False
Rodrigo Arenas,H,Député,La France Insoumise,1974,False
Antoine Armand,H,Député,Renaissance,1991,False
Christine Arrighi,F,Député,Europe Écologie Les Verts,1959,False
Bénédicte Auzanot,F,Député,Rassemblement National,1972,False
Joël Aviragnet,H,Député,Parti Socialiste,1956,False
Anne-Laure Babault,F,Député,MoDem,1982,False
Erwan Balanant,H,Député,MoDem,1971,False
Philippe Ballard,H,Député,Rassemblement National,1960,False
Géraldine Bannier,F,Député,MoDem,1979,False
Christophe Barthès,H,Député,Rassemblement National,1966,False
Nathalie Bassire,F,Député,Divers Droite,1968,False
Quentin Bataillon,H,Député,Divers Centre,1993,False
Marie-Noëlle Battistel,F,Député,Parti Socialiste,1956,False
Xavier Batut,H,Député,Divers Centre,1976,False
Romain Baubry,H,Député,Rassemblement National,1989,False
Julien Bayou,H,Député,Europe Écologie Les Verts,1980,False
Thibault Bazin,H,Député,Les Républicains,1984,False
Valérie Bazin-Malgras,F,Député,Les Républicains,1969,False
Clément Beaune,H,Député,Renaissance,1981,False
José Beaurain,H,Député,Rassemblement National,1971,False
Olivier Becht,H,Député,Renaissance,1976,False
Belkhir Belhaddad,H,Député,Renaissance,1969,False
Béatrice Bellamy,F,Député,Horizons,1966,False
Lisa Belluco,F,Député,Europe Écologie Les Verts,1988,False
Édouard Bénard,H,Député,Parti Communiste Français,1995,False
Thierry Benoit,H,Député,Horizons,1966,False
Christophe Bentz,H,Député,Rassemblement National,1987,False
Fanta Berete,F,Député,Renaissance,1975,False
Anne Bergantz,F,Député,MoDem,1968,False
Ugo Bernalicis,H,Député,La France Insoumise,1989,False
Philippe Berta,H,Député,MoDem,1960,False
Pierrick Berteloot,H,Député,Rassemblement National,1999,False
Véronique Besse,F,Député,Divers Droite,1963,False
Christophe Bex,H,Député,La France Insoumise,1961,False
Bruno Bilde,H,Député,Rassemblement National,1976,False
Carlos Martens Bilongo,H,Député,La France Insoumise,1990,False
Emmanuel Blairy,H,Député,Rassemblement National,1986,False
Sophie Blanc,F,Député,Rassemblement National,1968,False
Christophe Blanchet,H,Député,Renaissance,1973,False
Anne-Laure Blin,F,Député,Les Républicains,1983,False
Frédéric Boccaletti,H,Député,Rassemblement National,1973,False
Philippe Bolo,H,Député,MoDem,1967,False
Manuel Bompard,H,Député,La France Insoumise,1986,False
Sylvie Bonnet,F,Député,Les Républicains,1969,False
Émilie Bonnivard,F,Député,Les Républicains,1980,False
Jean-Yves Bony,H,Député,Les Républicains,1955,False
Pascale Bordes,F,Député,Rassemblement National,1961,False
Élisabeth Borne,F,Député,Résistons !,1961,False
Éric Bothorel,H,Député,Renaissance,1966,False
Ian Boucard,H,Député,Les Républicains,1988,False
Florent Boudié,H,Député,Renaissance,1973,False
Chantal Bouloux,F,Député,Renaissance,1961,False
Mickaël Bouloux,H,Député,Parti Socialiste,1972,False
Idir Boumertit,H,Député,La France Insoumise,1974,False
Jean-Luc Bourgeaux,H,Député,Divers Droite,1963,False
Jean-Louis Bourlanges,H,Député,MoDem,1946,False
Soumya Bourouaha,F,Député,Parti Communiste Français,1964,False
Bertrand Bouyx,H,Député,Renaissance,1970,False
Jorys Bovet,H,Député,Rassemblement National,1993,False

Louis Boyard,H,Député,La France Insoumise,2000,False 
Pascale Boyer,F,Député,Renaissance,1965,False
Yaël Braun-Pivet,F,Député,Renaissance,1970,False
Maud Bregeon,F,Député,Renaissance,1991,False
Xavier Breton,H,Député,Les Républicains,1962,False
Guy Bricout,H,Député,UDI,1944,False
Jean-Louis Bricout,H,Député,Divers Gauche,1957,False
Hubert Brigand,H,Député,Les Républicains,1952,False
Blandine Brocard,F,Député,MoDem,1981,False
Anthony Brosse,H,Député,Renaissance,1980,False
Vincent Bru,H,Député,MoDem,1955,False
Anne Brugnera,F,Député,Résistons !,1970,False
Danielle Brulebois,F,Député,Renaissance,1947,False
Fabrice Brun,H,Député,Les Républicains,1968,False
Philippe Brun,H,Député,Parti Socialiste,1991,False
Stéphane Buchou,H,Député,Renaissance,1974,False
Françoise Buffet,F,Député,Divers Centre,1953,False
Jérôme Buisson,H,Député,Rassemblement National,1973,False
Frédéric Cabrolier,H,Député,Rassemblement National,1966,False
Céline Calvez,F,Député,Renaissance,1979,False
Éléonore Caroit,F,Député,Renaissance,1985,False
Sylvain Carrière,H,Député,La France Insoumise,1991,False
Victor Catteau,H,Député,Rassemblement National,1995,False
Lionel Causse,H,Député,Résistons !,1971,False
Jean-René Cazeneuve,H,Député,Renaissance,1958,False
Pierre Cazeneuve,H,Député,Renaissance,1995,False
Émilie Chandler,F,Député,Renaissance,1983,False
André Chassaigne,H,Député,Parti Communiste Français,1950,False
Cyrielle Chatelain,F,Député,Europe Écologie Les Verts,1987,False
Florian Chauche,H,Député,La France Insoumise,1984,False
Yannick Chenevard,H,Député,Divers Centre,1959,False
Sébastien Chenu,H,Député,Rassemblement National,1973,False
Sophia Chikirou,F,Député,La France Insoumise,1979,False
Paul Christophe,H,Député,Agir,1971,False
Roger Chudeau,H,Député,Rassemblement National,1949,False
Hadrien Clouet,H,Député,La France Insoumise,1991,False
Fabienne Colboc,F,Député,Renaissance,1971,False
Claire Colomb-Pitollat,F,Député,Renaissance,1979,False
Caroline Colombier,F,Député,Rassemblement National,1957,False
Éric Coquerel,H,Député,La France Insoumise,1958,False

Alexis Corbière,H,Député,La France Insoumise,1968,False
Pierre Cordier,H,Député,Les Républicains,1972,False
François Cormier-Bouligeon,H,Député,Renaissance,1972,False
Josiane Corneloup,F,Député,Les Républicains,1959,False
Mickaël Cosson,H,Député,MoDem,1975,False
Bérangère Couillard,F,Député,Renaissance,1986,False
Jean-François Coulomme,H,Député,La France Insoumise,1966,False
Annick Cousin,F,Député,Rassemblement National,1973,False
Catherine Couturier,F,Député,La France Insoumise,1959,False
Laurence Cristol,F,Député,Renaissance,1967,False
Laurent Croizier,H,Député,MoDem,1975,False
Jean-Pierre Cubertafon,H,Député,MoDem,1948,False
Nathalie Da Conceicao Carvalho,F,Député,Rassemblement National,1966,False
Dominique Da Silva,F,Député,Renaissance,1968,False
Marie-Christine Dalloz,F,Député,Les Républicains,1958,False
Geneviève Darrieussecq,F,Député,MoDem,1956,False
Romain Daubié,H,Député,MoDem,1980,False
Hendrik Davi,H,Député,La France Insoumise,1977,False
Christine Decodts,F,Député,Renaissance,1966,False
Arthur Delaporte,H,Député,Parti Socialiste,1991,False
Stéphane Delautrette,H,Député,Parti Socialiste,1972,False
Sébastien Delogu,H,Député,La France Insoumise,1987,False
Julie Delpech,F,Député,Renaissance,1989,False
Vincent Descœur,H,Député,Les Républicains,1962,False
Frédéric Descrozaille,H,Député,Renaissance,1967,False
Mathilde Desjonquères,F,Député,MoDem,1980,False
Jocelyn Dessigny,F,Député,Rassemblement National,1981,False
Pierre Dharréville,H,Député,Parti Communiste Français,1975,False
Fabien Di Filippo,H,Député,Les Républicains,1986,False
Edwige Diaz,F,Député,Rassemblement National,1987,False
Benjamin Dirx,H,Député,Renaissance,1979,False
Julien Dive,H,Député,Les Républicains,1985,False
Sandrine Dogor-Such,F,Député,Rassemblement National,1970,False
Nicolas Dragon,H,Député,Rassemblement National,1977,False
Francis Dubois,H,Député,Divers Droite,1961,False
Virginie Duby-Muller,F,Député,Les Républicains,1979,False
Alma Dufour,F,Député,La France Insoumise,1990,False
Pierre-Henri Dumont,H,Député,Les Républicains,1987,False
Olivier Dussopt,H,Député,Résistons !,1978,False
Iñaki Echaniz,H,Député,Parti Socialiste,1993,False
Philippe Emmanuel,H,Député,Renaissance,1960,False
Christine Engrand,F,Député,Rassemblement National,1955,False
Sophie Errante,F,Député,Renaissance,1971,False
Laurent Esquenet-Goxes,H,Député,MoDem,1962,False
Martine Étienne,F,Député,La France Insoumise,1956,False
Philippe Fait,H,Député,Horizons,1969,False
Frédéric Falcon,H,Député,Rassemblement National,1985,False
Elsa Faucillon,F,Député,Parti Communiste Français,1981,False

Olivier Faure,H,Député,Parti Socialiste,1968,False
Yannick Favennec-Bécot,H,Député,Horizons,1958,False
Marc Ferracci,H,Député,Renaissance,1977,False
Sylvie Ferrer,F,Député,La France Insoumise,1967,False
Jean-Marie Fiévet,H,Député,Renaissance,1964,False
Agnès Firmin-Le Bodo,F,Député,Horizons,1968,False
Nicolas Forissier,H,Député,Les Républicains,1961,False
Grégoire de Fournas,H,Député,Rassemblement National,1985,False
Charles Fournier,H,Député,Europe Écologie Les Verts,1968,False
Thibaut François,H,Député,Rassemblement National,1989,False
Thierry Frappé,H,Député,Rassemblement National,1952,False
Philippe Frei,H,Député,Renaissance,1968,False
Martine Froger,F,Député,Parti Socialiste,1961,False
Bruno Fuchs,H,Député,MoDem,1959,False
Jean-Luc Fugit,H,Député,Renaissance,1969,False
Stéphanie Galzy,F,Député,Rassemblement National,1981,False
Marie-Charlotte Garin,F,Député,Europe Écologie Les Verts,1995,False
Guillaume Garot,H,Député,Parti Socialiste,1966,False
Raquel Garrido,F,Député,La France Insoumise,1974,False
Thomas Gassilloud,H,Député,Agir,1981,False
Maud Gatel,F,Député,MoDem,1979,False
Jean-Jacques Gaultier,H,Député,Les Républicains,1963,False
Luc Geismar,H,Député,MoDem,1966,False
Anne Genetet,F,Député,Renaissance,1963,False
Annie Genevard,F,Député,Les Républicains,1956,False
Félicie Gérard,F,Député,Horizons,1974,False
Raphaël Gérard,H,Député,Renaissance,1968,False
François Gernigon,H,Député,Horizons,1961,False
Hadrien Ghomi,H,Député,Renaissance,1989,False
Frank Giletti,H,Député,Rassemblement National,1973,False
Yoann Gillet,H,Député,Rassemblement National,1986,False
Christian Girard,H,Député,Rassemblement National,1952,False
Éric Girardin,H,Député,Renaissance,1962,False
Olga Givernet,F,Député,Renaissance,1981,False
José Gonzalez,H,Député,Rassemblement National,1943,False
Philippe Gosselin,H,Député,Les Républicains,1966,False
Guillaume Gouffier Valente,H,Député,Renaissance,1986,False
Florence Goulet,F,Député,Rassemblement National,1961,False
Perrine Goulet,F,Député,MoDem,1978,False
Carole Grandjean,F,Député,Renaissance,1983,False
Géraldine Grangier,F,Député,Rassemblement National,1975,False
Daniel Grenon,H,Député,Rassemblement National,1948,False
Justine Gruet,F,Député,Les Républicains,1989,False
Jérôme Guedj,H,Député,Parti Socialiste,1972,False

Clémence Guetté,F,Député,La France Insoumise,1991,False
Claire Guichard,F,Député,Renaissance,1967,False
Michel Guiniot,H,Député,Rassemblement National,1954,False
David Guiraud,H,Député,La France Insoumise,1992,False
Jordan Guitton,H,Député,Rassemblement National,1995,False
Victor Habert-Dassault,H,Député,Les Républicains,1992,False
David Habib,H,Député,Divers Gauche,1961,False

Meyer Habib,H,Député,UDI,1961,False
Benjamin Haddad,H,Député,Renaissance,1985,False
Nadia Hai,F,Député,Renaissance,1980,False
Marine Hamelet,F,Député,Rassemblement National,1967,False
Yannick Haury,H,Député,Renaissance,1954,False
Pierre Henriet,H,Député,Horizons,1991,False
Michel Herbillon,H,Député,Les Républicains,1951,False
Patrick Hetzel,H,Député,Les Républicains,1964,False
Mathilde Hignet,F,Député,La France Insoumise,1993,False
Alexandre Holroyd,H,Député,Renaissance,1987,False
Sacha Houlié,H,Député,Renaissance,1988,False
Timothée Houssin,H,Député,Rassemblement National,1988,False
Éric Husson,H,Député,Renaissance,1963,False
Monique Iborra,F,Député,Renaissance,1945,False
Jérémie Iordanoff,H,Député,Europe Écologie Les Verts,1983,False
Cyrille Isaac-Sibille,H,Député,MoDem,1958,False
Alexis Izard,H,Député,Renaissance,1992,False
