Name,Birth Date,Party
"Abad, DamienDamien Abad",5 avril 1980(44 ans),DVD
"Abadie, CarolineCaroline Abadie",7 septembre 1976(47 ans),RE
"Abomangoli, NadègeNadège Abomangoli",15 septembre 1975(48 ans),LFI
"Acquaviva, Jean-FélixJean-Félix Acquaviva",19 mars 1973(51 ans),FaC
"Adam, DamienDamien Adam",28 juin 1989(35 ans),RE
"Alauzet, ÉricÉric Alauzet",7 juin 1958(66 ans),RE-TdP
"Albertini, XavierXavier Albertini",28 janvier 1970(54 ans),Horizons
"Alexandre, LaurentLaurent Alexandre",9 juin 1973(51 ans),LFI
"Alfandari, HenriHenri Alfandari",2 octobre 1979(44 ans),Horizons
"Allisio, FranckFranck Allisio",4 août 1980(43 ans),RN
"Amard, GabrielGabriel Amard",5 mai 1967(57 ans),LFI
"Amiel, DavidDavid Amiel",28 novembre 1992(31 ans),RE
"Amiot, SégolèneSégolène Amiot",23 février 1986(38 ans),LFI
"Amrani, FaridaFarida Amrani",3 septembre 1976(47 ans),LFI
"Anglade, Pieyre-AlexandrePieyre-Alexandre Anglade",2 novembre 1986(37 ans),RE
"Anthoine, EmmanuelleEmmanuelle Anthoine",2 juillet 1964(60 ans),LR
"Ardouin, Jean-PhilippeJean-Philippe Ardouin",5 mars 1964(60 ans),RE
"Arenas, RodrigoRodrigo Arenas",24 avril 1974(50 ans),LFI
"Armand, AntoineAntoine Armand",10 septembre 1991(32 ans),RE
"Arrighi, ChristineChristine Arrighi",19 septembre 1959(64 ans),EELV
"Autain, ClémentineClémentine Autain",26 mai 1973(51 ans),LFI-E!
"Auzanot, BénédicteBénédicte Auzanot",5 août 1972(51 ans),RN
"Aviragnet, JoëlJoël Aviragnet",16 juin 1956(68 ans),PS
"Babault, Anne-LaureAnne-Laure Babault",3 janvier 1982(42 ans),MoDem
"Balanant, ErwanErwan Balanant",21 février 1971(53 ans),MoDem
"Ballard, PhilippePhilippe Ballard",24 novembre 1960(63 ans),RN
"Bannier, GéraldineGéraldine Bannier",22 novembre 1979(44 ans),MoDem
"Baptiste, ChristianChristian Baptiste",18 juin 1962(62 ans),PPDG
"Barthès, ChristopheChristophe Barthès",12 octobre 1966(57 ans),RN
"Bassire, NathalieNathalie Bassire",22 janvier 1968(56 ans),DVD
"Bataillon, QuentinQuentin Bataillon",9 septembre 1993(30 ans),DVC
"Batho, DelphineDelphine Batho",23 mars 1973(51 ans),GE
"Battistel, Marie-NoëlleMarie-Noëlle Battistel",20 août 1956(67 ans),PS
"Batut, XavierXavier Batut",26 décembre 1976(47 ans),DVC
"Baubry, RomainRomain Baubry",28 janvier 1989(35 ans),RN
"Bayou, JulienJulien Bayou",11 juin 1980(44 ans),EELV
"Bazin, ThibaultThibault Bazin",27 octobre 1984(39 ans),LR
"Bazin-Malgras, ValérieValérie Bazin-Malgras",31 octobre 1969(54 ans),LR
"Beaune, ClémentClément Beaune",14 août 1981(42 ans),RE
"Beaurain, JoséJosé Beaurain",27 juillet 1971(52 ans),RN
"Becht, OlivierOlivier Becht",28 avril 1976(48 ans),RE
"Belhaddad, BelkhirBelkhir Belhaddad",9 juillet 1969(55 ans),RE
"Belhamiti, MounirMounir Belhamiti",8 mars 1985(39 ans),RE-PE
"Bellamy, BéatriceBéatrice Bellamy",20 octobre 1966(57 ans),Horizons
"Belluco, LisaLisa Belluco",20 juillet 1988(35 ans),EELV
"Bénard, ÉdouardÉdouard Bénard",18 février 1995(29 ans),PCF
"Ben Cheikh, KarimKarim Ben Cheikh",19 mars 1977,G.s
"Benoit, ThierryThierry Benoit",13 septembre 1966(57 ans),Horizons
"Bentz, ChristopheChristophe Bentz",4 juillet 1987(37 ans),RN
"Berete, FantaFanta Berete",31 mai 1975(49 ans),RE
"Bergantz, AnneAnne Bergantz",17 septembre 1968,MoDem
"Bernaert, DenisDenis Bernaert",1erjanvier 1964(60 ans),HOR
"Bernalicis, UgoUgo Bernalicis",25 septembre 1989(34 ans),LFI
