Nom,Date de Naissance,Parti,Plus Haute Fonction Exercée
Charles de Gaulle,22 novembre 1890,Union pour la Nouvelle République,Président
Georges Pompidou,5 juillet 1911,Union des Démocrates pour la République,Président
Valéry Giscard d'Estaing,2 février 1926,Républicains Indépendants,Président
François Mitterrand,26 octobre 1916,Parti Socialiste,Président
Jacques Chirac,29 novembre 1932,Rassemblement pour la République,Président
Nicolas Sarkozy,28 janvier 1955,Union pour un Mouvement Populaire,Président
François Hollande,12 août 1954,Parti Socialiste,Président
Emmanuel Macron,21 décembre 1977,La République En Marche!,Président

Michel Debré,15 janvier 1912,Union pour la Nouvelle République,Premier ministre
Jacques Chaban-Delmas,15 mars 1915,Union des Démocrates pour la République,Premier ministre
Pierre Messmer,20 mars 1916,Union des Démocrates pour la République,Premier ministre
Raymond Barre,12 avril 1924,Union des Démocrates pour la République,Premier ministre
Pierre Mauroy,5 juillet 1928,Parti Socialiste,Premier ministre
Laurent Fabius,20 août 1946,Parti Socialiste,Premier ministre
Michel Rocard,23 août 1930,Parti Socialiste,Premier ministre
Édith Cresson,27 janvier 1934,Parti Socialiste,Premier ministre
Pierre Bérégovoy,23 décembre 1925,Parti Socialiste,Premier ministre
Édouard Balladur,2 mai 1929,Rassemblement pour la République,Premier ministre
Alain Juppé,15 août 1945,Rassemblement pour la République,Premier ministre
Lionel Jospin,12 juillet 1937,Parti Socialiste,Premier ministre
Jean-Pierre Raffarin,3 août 1948,Union pour un Mouvement Populaire,Premier ministre
Dominique de Villepin,14 novembre 1953,Union pour un Mouvement Populaire,Premier ministre
François Fillon,4 mars 1954,Union pour un Mouvement Populaire,Premier ministre
Jean-Marc Ayrault,25 janvier 1950,Parti Socialiste,Premier ministre
Manuel Valls,13 août 1962,Parti Socialiste,Premier ministre
Bernard Cazeneuve,2 juin 1963,Parti Socialiste,Premier ministre
Édouard Philippe,28 novembre 1970,Les Républicains,Premier ministre
Jean Castex,25 juin 1965,Les Républicains,Premier ministre
Élisabeth Borne,18 avril 1961,La République En Marche!,Premier ministre
Gabriel Attal,16 mars 1989,La République En Marche!,Premier ministre

Simone Veil,13 juillet 1927,Union pour la Démocratie Française,Ministre
Jacques Delors,20 juillet 1925,Parti Socialiste,Ministre
Robert Schuman,29 juin 1886,Mouvement Républicain Populaire,Ministre
Michel Rocard,23 août 1930,Parti Socialiste,Ministre
Jean-Pierre Chevènement,9 mars 1939,Mouvement des Citoyens,Ministre
Raymond Barre,12 avril 1924,Union des Démocrates pour la République,Ministre
Dominique Strauss-Kahn,25 avril 1949,Parti Socialiste,Ministre
Nicolas Sarkozy,28 janvier 1955,Union pour un Mouvement Populaire,Ministre
Alain Juppé,15 août 1945,Rassemblement pour la République,Ministre
François Bayrou,25 mai 1951,Union pour la Démocratie Française,Ministre
Laurent Fabius,20 août 1946,Parti Socialiste,Ministre
Ségolène Royal,22 septembre 1943,Parti Socialiste,Ministre

Jean-Luc Mélenchon,19 août 1951,La France Insoumise,Député
Marine Le Pen,5 août 1968,Rassemblement National,Députée
François Bayrou,25 mai 1951,Mouvement Démocrate,Député
Nicolas Dupont-Aignan,7 mars 1961,Debout la France,Député
