Charles de Gaulle,H,22 novembre 1890,Union pour la Nouvelle République,Président,quote,Je vous ai compris,https://en.wikipedia.org/wiki/Charles_de_Gaulle
Georges Pompidou,H,5 juillet 1911,Union des Démocrates pour la République,Président,quote,La République vous appelle,https://en.wikipedia.org/wiki/Georges_Pompidou
Valéry Giscard d'Estaing,H,2 février 1926,Républicains Indépendants,Président,quote,Au revoir,https://en.wikipedia.org/wiki/Valéry_Giscard_d'Estaing
François Mitterrand,H,26 octobre 1916,Parti Socialiste,Président,quote,vous avez tout à fait raison monsieur le premier ministre,https://en.wikipedia.org/wiki/François_Mitterrand
Jacques Chirac,H,29 novembre 1932,Rassemblement pour la République,Président,quote,j'aime les pommes,https://en.wikipedia.org/wiki/Jacques_Chirac
Nicolas Sarkozy,H,28 janvier 1955,Union pour un Mouvement Populaire,Président,quote,casse-toi pauv' con,https://en.wikipedia.org/wiki/Nicolas_Sarkozy
François Hollande,H,12 août 1954,Parti Socialiste,Président,quote,moi président...,https://en.wikipedia.org/wiki/François_Hollande
Emmanuel Macron,H,21 décembre 1977,Renaissance,Président,quote,parce que c'est notre projet,https://en.wikipedia.org/wiki/Emmanuel_Macron
Michel Debré,H,15 janvier 1912,Union pour la Nouvelle République,Premier ministre,hint,ancien résistant,https://en.wikipedia.org/wiki/Michel_Debré
Jacques Chaban-Delmas,H,15 mars 1915,Union des Démocrates pour la République,Premier ministre,hint,a été maire de Bordeaux pendant 48 ans,https://en.wikipedia.org/wiki/Jacques_Chaban-Delmas
Pierre Messmer,H,20 mars 1916,Union des Démocrates pour la République,Premier ministre,hint,porte le nom d'un magicien,https://en.wikipedia.org/wiki/Pierre_Messmer
Raymond Barre,H,12 avril 1924,Union des Démocrates pour la République,Premier ministre,hint,"""surnommé ""le meilleur économiste de France"" par Valéry Giscard d'Estaing.""",https://en.wikipedia.org/wiki/Raymond_Barre
Pierre Mauroy,H,5 juillet 1928,Parti Socialiste,Premier ministre,hint,a mis en place la semaine de 39 heures et la retraite à 60 ans.,https://en.wikipedia.org/wiki/Pierre_Mauroy
Laurent Fabius,H,20 août 1946,Parti Socialiste,Premier ministre,hint,"Président de la COP21, il a joué un rôle clé dans l'Accord de Paris",https://en.wikipedia.org/wiki/Laurent_Fabius
Michel Rocard,H,23 août 1930,Parti Socialiste,Premier ministre,hint,Connu pour avoir créé le Revenu Minimum d'Insertion (RMI) en 1988.,https://en.wikipedia.org/wiki/Michel_Rocard
Édith Cresson,F,27 janvier 1934,Parti Socialiste,Premier ministre,hint,Première femme à avoir été Premier ministre ,https://en.wikipedia.org/wiki/Édith_Cresson
Pierre Bérégovoy,H,23 décembre 1925,Parti Socialiste,Premier ministre,hint,est tristement connu pour s'être suicidé en 1993.,https://en.wikipedia.org/wiki/Pierre_Bérégovoy
Édouard Balladur,H,2 mai 1929,Rassemblement pour la République,Premier ministre,hint,Premier ministre sous François Mitterrand lors de la cohabitation de 1993 à 1995.,https://en.wikipedia.org/wiki/Édouard_Balladur
Alain Juppé,H,15 août 1945,Rassemblement pour la République,Premier ministre,hint,sa réforme des retraites et de la sécurité sociale en 1995 a provoqué de grandes grèves.,https://en.wikipedia.org/wiki/Alain_Juppé
Lionel Jospin,H,12 juillet 1937,Parti Socialiste,Premier ministre,hint,a instauré les 35 heures de travail par semaine,https://en.wikipedia.org/wiki/Lionel_Jospin
